###,poem_id,display_name,place_id,place_name,year,verse,word,word_normalised,word_lemmatised (local),lemma_standard (Finnish/Estonian & minority languages if needed),root (Est/Fi,English,Alternative (English),Refrain / onomatopoetic word,Comment
1,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Savu soarella palave,",savu,savu,savu,savu,savu,smoke,,,
2,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Savu soarella palave,",soarella,soarella,soari,saari,saari,island,,,
3,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Savu soarella palave,",palave,palave,paloa,palaa,palaa,to burn,,,
4,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Tuli niemen tutkamessa;,tuli,tuli,tuli,tuli,tuli,fire,,,
5,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Tuli niemen tutkamessa;,niemen,niemen,niemi,niemi,niemi,spit,,,
6,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Tuli niemen tutkamessa;,tutkamessa,tutkamessa,tutkamo,tutkain,tutkain,point,tip,,the Karelian dicitonary gives the word but no meaning to it
7,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Pien' on sovan savuksi,",pien,pien,pien,pieni,pieni,small,,,
8,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Pien' on sovan savuksi,",on,on,olla,olla,olla,to be,,,
9,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Pien' on sovan savuksi,",sovan,sovan,sota,sota,sota,war,,,
10,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Pien' on sovan savuksi,",savuksi,savuksi,savu,savu,savu,smoke,,,
11,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Suuri paimenen paloksi.,suuri,suuri,suuri,suuri,suuri,big,,,
12,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Suuri paimenen paloksi.,paimenen,paimenen,paimen,paimen,paimen,shepherd,,,
13,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,Suuri paimenen paloksi.,paloksi,paloksi,palo,palo,palo,burn,,,
14,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"5 Kesä vettä keitetähä,",kesä,kesä,kesä,kesä,kesä,summer,,,
15,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"5 Kesä vettä keitetähä,",vettä,vettä,vesi,vesi,vesi,water,,,
16,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"5 Kesä vettä keitetähä,",keitetähä,keitetähä,keittäy,keittää,keittää,to boil,,,
17,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kuu kiviä kuumataha,",kuu,kuu,kuu,kuu,kuu,month,,,
18,skvr01107250,SKVR I2 725.,skvr_6030,Kontokki,1872,"Kuu kiviä kuumataha,",kiviä,kiviä,kivi,kivi,kivi,stone,,,
